
101A English              Period 1
111A French 1             Period 6
  Adrian Sharpe  (9)
  Ayla Ledger  (25)
  Benjamin Madden  (77)
  Christopher James  (85)
  Ella Lennon  (69)
  Gianna Amos  (1)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Joshua Wixx  (101)
  Kennedy Cassidy  (93)
  Miles Moses  (109)
  Raelynn McKenna  (81)
  Silas Cyprus  (13)
  Victoria Mintz  (121)
  Walker Langley  (33)
Student Count 15

111B French 1             Period 4
  Andrew Stoll  (49)
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Bennett Lennon  (105)
  Brooklyn Adler  (29)
  Cameron Elsher  (5)
  Cora Whitlock  (113)
  Hannah Marley  (45)
  Ian Thatcher  (41)
  Kinsley Cassidy  (97)
  Leilani Lennon  (117)
  Lincoln Lopez  (53)
  Lincoln Oatrun  (57)
  Luna Gasper  (61)
  Natalie Collymore  (37)
  Xavier Dagon  (17)
Student Count 16

111Z French 1             Period 0
  Eloise Barlowe  (125)
Student Count 1

112A Spanish 1            Period 7
  Adrian Sharpe  (9)
  Aubrey Hart  (73)
  Bennett Lennon  (105)
  Brooklyn Adler  (29)
  Christopher James  (85)
  Hannah Marley  (45)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Kinsley Cassidy  (97)
  Lincoln Lopez  (53)
  Lincoln Oatrun  (57)
  Miles Moses  (109)
  Natalie Collymore  (37)
  Raelynn McKenna  (81)
  Silas Cyprus  (13)
  Xavier Dagon  (17)
Student Count 16

112B Spanish 1            Period 2
  Andrew Stoll  (49)
  Ava Fellowes  (65)
  Ayla Ledger  (25)
  Benjamin Madden  (77)
  Cameron Elsher  (5)
  Cora Whitlock  (113)
  Ella Lennon  (69)
  Gianna Amos  (1)
  Ian Thatcher  (41)
  Joshua Wixx  (101)
  Kennedy Cassidy  (93)
  Leilani Lennon  (117)
  Luna Gasper  (61)
  Victoria Mintz  (121)
  Walker Langley  (33)
Student Count 15

112Z Spanish 1            Period 0
  Eloise Barlowe  (125)
Student Count 1

113A Latin 1              Period 3
  Aaron Sharpe  (2)
  Alice Gasper  (46)
  Andrew West  (98)
  Axel Adler  (78)
  Carter Wixx  (90)
  Ivy Beam  (30)
  James Lopez  (34)
  John Verlice  (106)
  Leah Gray  (102)
  Maria Carter  (54)
  Micah Madison  (66)
  Quinn Hayes  (122)
  Sophia Truthbelly  (42)
Student Count 13

113B Latin 1              Period 7
  Anthony Adams  (114)
  Ayla James  (18)
  Hannah Crawford  (74)
  Hannah Laurier  (86)
  Hudson Bardot  (10)
  Josiah Biddercombe  (14)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Madison Gatlin  (38)
  Mason Laurier  (82)
  Mia Humblecut  (22)
  Nora Dagon  (26)
  Nova Gonzales  (58)
  Santiago Thatcher  (6)
  Sophie Amos  (62)
  Theo Hendrix  (94)
  Theodore Lightfoot  (118)
  Waylon Remington  (50)
Student Count 18

201A Literature           Period 7
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Chloe Adler  (163)
  Cooper Solace  (169)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Ezra Vespertine  (126)
  Josephine Barlowe  (246)
  Julian Undergrove  (180)
  Lydia Gasper  (143)
  Madelyn Jenkins  (244)
  Mateo Adair  (230)
  Maverick Thatcher  (192)
  Maya James  (188)
  Parker Undergrove  (156)
  Riley Madden  (152)
  Theodore Fellowes  (206)
  Thomas Gray  (141)
  Weston Truthbelly  (158)
Student Count 20

201B Literature           Period 3
  Ava Lennon  (194)
  Brooks Caddel  (129)
  Easton Ashley  (185)
  Elena Moses  (199)
  Elias Beckett  (153)
  Emery Windward  (190)
  Emily Bardot  (142)
  Everett Poverly  (182)
  Greyson Adler  (202)
  Ivy Solace  (144)
  Jacob Gonzales  (189)
  Jordan Spade  (197)
  Josiah Daughtler  (218)
  Lydia Dustfinger  (148)
  Maverick Spade  (136)
  Miles Gasper  (154)
  Ruby Hydrafist  (137)
  Weston Hansley  (183)
  Willow Sagespark  (134)
  Xavier Humblecut  (198)
Student Count 20

201C Literature           Period 4
  Adam Keller  (133)
  Adam Lopez  (207)
  Adeline Hydrafist  (212)
  Charlotte Gasper  (208)
  Eleanor Hendrix  (243)
  Elias Ashley  (233)
  Ellie Ellis  (250)
  Gabriella Adair  (193)
  Isabella Woodgrip  (222)
  John Strongblossom  (205)
  Jordan Vespertine  (232)
  Luna West  (165)
  Maya Ashbluff  (160)
  Mila Crassus  (184)
  Nathan Huxley  (217)
  Ryan Poverly  (176)
  Victoria Finnegan  (245)
  Walker Sharpe  (155)
Student Count 18

201D Literature           Period 6
  Aaliyah Langley  (214)
  Anthony Strongblossom  (181)
  Ayla Carter  (249)
  Brooks Gasper  (235)
  Brooks Marley  (195)
  Cora Hansley  (187)
  Ezekiel Kicklighter  (162)
  Jack Gonzales  (175)
  James Curran  (196)
  Logan Elsher  (209)
  Ryan Elrod  (164)
  Xavier Hendrix  (211)
  Xavier Sharpe  (210)
Student Count 13

201E Literature           Period 5
  Aaron Keller  (242)
  Anthony Gannon  (128)
  Audrey Madden  (149)
  Beau Ashford  (247)
  Benjamin Cyprus  (127)
  Claire Biddercombe  (157)
  Cooper Wixx  (226)
  Elijah Madden  (161)
  Josephine Strongblossom  (145)
  Joshua Yearwood  (204)
  Liliana Carter  (171)
  Nora Gorestriker  (131)
  Oliver Ashbluff  (240)
  Owen Madden  (223)
  Penelope Daughtler  (227)
  Serenity Carter  (135)
  Wesley Finch  (225)
  Zoey Gorestriker  (248)
Student Count 18

201F Literature           Period 2
  Athena Woodgrip  (168)
  Aubrey James  (216)
  Brooklyn Undergrove  (234)
  Cooper Carter  (179)
  Eli Hendrix  (229)
  Eli Kicklighter  (147)
  Eloise Adams  (213)
  Everleigh Gray  (224)
  Everly Cassidy  (170)
  Greyson Beckett  (130)
  Mateo Beckett  (167)
  Mateo Jenkins  (200)
  Mia Sharpe  (174)
  Naomi Mintz  (215)
  Nathan Adair  (241)
  Owen Remington  (151)
  Raelynn Caskcut  (191)
  Victoria Caskcut  (221)
  Victoria Elrod  (146)
  Zoey Beam  (236)
Student Count 20

201G Literature           Period 1
  Alice Crawford  (177)
  Angel Gorestriker  (140)
  Anna Spade  (172)
  Athena Gonzales  (239)
  Aurora Spade  (139)
  Bennett Sagespark  (231)
  Daniel Beckett  (220)
  Elias Amos  (173)
  Genesis Truthbelly  (186)
  Jack Beckett  (228)
  Jayden Beam  (203)
  Jonathan Gray  (159)
  Kennedy Hart  (237)
  Levi Bardot  (219)
  Lillian Fleet  (132)
  Owen Ashford  (201)
Student Count 16

202A Algebra 2            Period 3
  Aaron Keller  (242)
  Angel Gorestriker  (140)
  Anthony Strongblossom  (181)
  Anthony Zimmerman  (150)
  Aurora Spade  (139)
  Benjamin Cyprus  (127)
  Brooklyn Undergrove  (234)
  Brooks Gasper  (235)
  Genesis Truthbelly  (186)
  Jayden Beam  (203)
  Levi Bardot  (219)
  Luna West  (165)
  Mateo Adair  (230)
  Mateo Beckett  (167)
  Naomi Mintz  (215)
  Owen Madden  (223)
  Theodore Fellowes  (206)
  Xavier Hendrix  (211)
Student Count 18

202B Algebra 2            Period 6
  Athena Woodgrip  (168)
  Aubrey James  (216)
  Beau Ashford  (247)
  Bennett Sagespark  (231)
  Chloe Adler  (163)
  Easton Ashley  (185)
  Eli Hendrix  (229)
  Elias Beckett  (153)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Everleigh Gray  (224)
  Gabriella Adair  (193)
  Isabella Woodgrip  (222)
  Mateo Jenkins  (200)
  Maya James  (188)
  Raelynn Caskcut  (191)
  Serenity Carter  (135)
  Thomas Gray  (141)
  Victoria Finnegan  (245)
  Zoey Gorestriker  (248)
Student Count 20

202C Algebra 2            Period 5
  Adam Keller  (133)
  Anna Spade  (172)
  Cooper Solace  (169)
  Cora Hansley  (187)
  Eli Kicklighter  (147)
  Elias Amos  (173)
  Everly Cassidy  (170)
  Ezra Vespertine  (126)
  Jack Beckett  (228)
  Jonathan Gray  (159)
  Jordan Spade  (197)
  Josiah Daughtler  (218)
  Logan Elsher  (209)
  Lydia Gasper  (143)
  Madelyn Jenkins  (244)
  Ryan Poverly  (176)
  Xavier Humblecut  (198)
Student Count 17

202D Algebra 2            Period 1
  Adam Lopez  (207)
  Ayla Carter  (249)
  Eleanor Hendrix  (243)
  Lydia Dustfinger  (148)
  Maverick Thatcher  (192)
  Mila Crassus  (184)
  Nathan Adair  (241)
  Nathan Huxley  (217)
  Victoria Caskcut  (221)
  Weston Hansley  (183)
Student Count 10

202E Algebra 2            Period 7
  Aaliyah Langley  (214)
  Adeline Hydrafist  (212)
  Alice Crawford  (177)
  Anthony Gannon  (128)
  Brooks Marley  (195)
  Charlotte Gasper  (208)
  Cooper Wixx  (226)
  Elena Moses  (199)
  Ellie Ellis  (250)
  Emery Windward  (190)
  Emily Bardot  (142)
  Ezekiel Kicklighter  (162)
  Greyson Beckett  (130)
  James Curran  (196)
  Jordan Vespertine  (232)
  Joshua Yearwood  (204)
  Maya Ashbluff  (160)
  Mia Sharpe  (174)
  Ruby Hydrafist  (137)
  Victoria Elrod  (146)
Student Count 20

202F Algebra 2            Period 2
  Angel Fleet  (238)
  Audrey Madden  (149)
  Ava Lennon  (194)
  Brooks Caddel  (129)
  Claire Biddercombe  (157)
  Daniel Beckett  (220)
  Elias Ashley  (233)
  Elijah Madden  (161)
  Ivy Solace  (144)
  Jack Gonzales  (175)
  John Strongblossom  (205)
  Josephine Barlowe  (246)
  Julian Undergrove  (180)
  Lillian Fleet  (132)
  Maverick Spade  (136)
  Miles Gasper  (154)
  Parker Undergrove  (156)
  Riley Madden  (152)
  Walker Sharpe  (155)
  Willow Sagespark  (134)
Student Count 20

202G Algebra 2            Period 4
  Athena Gonzales  (239)
  Cooper Carter  (179)
  Eloise Adams  (213)
  Eloise Dagon  (178)
  Everett Poverly  (182)
  Greyson Adler  (202)
  Jacob Gonzales  (189)
  Josephine Strongblossom  (145)
  Kennedy Hart  (237)
  Liliana Carter  (171)
  Nora Gorestriker  (131)
  Oliver Ashbluff  (240)
  Owen Ashford  (201)
  Owen Remington  (151)
  Penelope Daughtler  (227)
  Ryan Elrod  (164)
  Wesley Finch  (225)
  Weston Truthbelly  (158)
  Xavier Sharpe  (210)
  Zoey Beam  (236)
Student Count 20

203A Biology 2            Period 4
  Aaliyah Langley  (214)
  Alice Crawford  (177)
  Angel Gorestriker  (140)
  Anthony Strongblossom  (181)
  Athena Woodgrip  (168)
  Audrey Madden  (149)
  Claire Biddercombe  (157)
  Cora Hansley  (187)
  Daniel Beckett  (220)
  Genesis Truthbelly  (186)
  Jack Beckett  (228)
  James Curran  (196)
  Jordan Spade  (197)
  Josiah Daughtler  (218)
  Lydia Gasper  (143)
  Mateo Adair  (230)
  Maya James  (188)
  Nathan Adair  (241)
  Theodore Fellowes  (206)
  Thomas Gray  (141)
Student Count 20

203B Biology 2            Period 6
  Athena Gonzales  (239)
  Aurora Spade  (139)
  Cooper Carter  (179)
  Eleanor Hendrix  (243)
  Eloise Adams  (213)
  Jordan Vespertine  (232)
  Josephine Strongblossom  (145)
  Kennedy Hart  (237)
  Maverick Spade  (136)
  Maya Ashbluff  (160)
  Mila Crassus  (184)
  Owen Remington  (151)
  Riley Madden  (152)
  Weston Truthbelly  (158)
  Zoey Beam  (236)
Student Count 15

203C Biology 2            Period 2
  Aaron Keller  (242)
  Anna Spade  (172)
  Anthony Zimmerman  (150)
  Cooper Solace  (169)
  Cooper Wixx  (226)
  Elena Moses  (199)
  Ella Hart  (166)
  Ezra Vespertine  (126)
  Jonathan Gray  (159)
  Joshua Yearwood  (204)
  Levi Bardot  (219)
  Logan Elsher  (209)
  Ruby Hydrafist  (137)
  Ryan Elrod  (164)
  Serenity Carter  (135)
  Wesley Finch  (225)
  Xavier Hendrix  (211)
Student Count 17

203D Biology 2            Period 7
  Aubrey James  (216)
  Ava Lennon  (194)
  Benjamin Cyprus  (127)
  Brooklyn Undergrove  (234)
  Brooks Gasper  (235)
  Everett Poverly  (182)
  Everleigh Gray  (224)
  Everly Cassidy  (170)
  Isabella Woodgrip  (222)
  John Strongblossom  (205)
  Miles Gasper  (154)
  Naomi Mintz  (215)
  Nora Gorestriker  (131)
  Oliver Ashbluff  (240)
  Owen Ashford  (201)
  Xavier Humblecut  (198)
Student Count 16

203E Biology 2            Period 1
  Beau Ashford  (247)
  Brooks Marley  (195)
  Charlotte Gasper  (208)
  Eli Hendrix  (229)
  Elias Beckett  (153)
  Elijah Madden  (161)
  Ellie Ellis  (250)
  Emery Windward  (190)
  Emily Bardot  (142)
  Jacob Gonzales  (189)
  Josephine Barlowe  (246)
  Julian Undergrove  (180)
  Liliana Carter  (171)
  Luna West  (165)
  Mateo Beckett  (167)
