
101A English              Period 4
  Sophia Truthbelly  (42)
  Sophie Amos  (62)
  Theodore Lightfoot  (118)
Student Count 17

113B Latin 1              Period 5
  Axel Adler  (78)
  Ayla James  (18)
  Carter Wixx  (90)
  Hannah Laurier  (86)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Madison Gatlin  (38)
  Maria Carter  (54)
  Mason Laurier  (82)
  Mia Humblecut  (22)
  Nora Dagon  (26)
  Nova Gonzales  (58)
  Theo Hendrix  (94)
  Waylon Remington  (50)
Student Count 14

201A Literature           Period 5
  Anthony Strongblossom  (181)
  Bennett Sagespark  (231)
  Brooks Caddel  (129)
  Brooks Gasper  (235)
  Claire Biddercombe  (157)
  Cooper Carter  (179)
  Eli Hendrix  (229)
  John Strongblossom  (205)
  Josephine Barlowe  (246)
  Levi Bardot  (219)
  Lillian Fleet  (132)
  Maverick Spade  (136)
  Maverick Thatcher  (192)
  Miles Gasper  (154)
  Nathan Huxley  (217)
  Owen Ashford  (201)
  Ruby Hydrafist  (137)
  Ryan Poverly  (176)
  Xavier Sharpe  (210)
Student Count 19

201B Literature           Period 3
  Alice Crawford  (177)
  Anna Spade  (172)
  Anthony Gannon  (128)
  Anthony Zimmerman  (150)
  Aurora Spade  (139)
  Ava Lennon  (194)
  Benjamin Cyprus  (127)
  Daniel Beckett  (220)
  Elena Moses  (199)
  Elias Amos  (173)
  Everett Poverly  (182)
  Ezekiel Kicklighter  (162)
  Logan Elsher  (209)
  Luna West  (165)
  Maya Ashbluff  (160)
  Naomi Mintz  (215)
  Nathan Adair  (241)
  Nora Gorestriker  (131)
  Xavier Hendrix  (211)
Student Count 19

201C Literature           Period 2
  Adeline Hydrafist  (212)
  Athena Gonzales  (239)
  Aubrey James  (216)
  Beau Ashford  (247)
  Brooks Marley  (195)
  Cooper Solace  (169)
  Cora Hansley  (187)
  Elijah Madden  (161)
  Everly Cassidy  (170)
  Greyson Beckett  (130)
  Ivy Solace  (144)
  Liliana Carter  (171)
  Mateo Adair  (230)
  Mateo Jenkins  (200)
  Owen Remington  (151)
  Victoria Finnegan  (245)
  Willow Sagespark  (134)
  Zoey Gorestriker  (248)
Student Count 18

201D Literature           Period 7
  Aaron Keller  (242)
  Athena Woodgrip  (168)
  Ayla Carter  (249)
  Eleanor Hendrix  (243)
  Eli Kicklighter  (147)
  Elias Ashley  (233)
  Elias Beckett  (153)
  Eloise Adams  (213)
  Emily Bardot  (142)
  Genesis Truthbelly  (186)
  Greyson Adler  (202)
  Jayden Beam  (203)
  Jordan Spade  (197)
  Kennedy Hart  (237)
  Madelyn Jenkins  (244)
  Oliver Ashbluff  (240)
  Owen Madden  (223)
  Penelope Daughtler  (227)
  Raelynn Caskcut  (191)
  Weston Truthbelly  (158)
Student Count 20

201E Literature           Period 6
  Adam Keller  (133)
  Adam Lopez  (207)
  Angel Fleet  (238)
  Audrey Madden  (149)
  Ellie Ellis  (250)
  Ezra Vespertine  (126)
  Isabella Woodgrip  (222)
  Jonathan Gray  (159)
  Josephine Strongblossom  (145)
  Julian Undergrove  (180)
  Lydia Dustfinger  (148)
  Mateo Beckett  (167)
  Maya James  (188)
  Mila Crassus  (184)
  Ryan Elrod  (164)
  Serenity Carter  (135)
  Theodore Fellowes  (206)
  Weston Hansley  (183)
  Xavier Humblecut  (198)
  Zoey Beam  (236)
Student Count 20

201F Literature           Period 1
  Aaliyah Langley  (214)
  Brooklyn Undergrove  (234)
  Cooper Wixx  (226)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Everleigh Gray  (224)
  Gabriella Adair  (193)
  Jack Beckett  (228)
  Jack Gonzales  (175)
  Jacob Gonzales  (189)
  James Curran  (196)
  Joshua Yearwood  (204)
  Josiah Daughtler  (218)
  Mia Sharpe  (174)
  Parker Undergrove  (156)
  Riley Madden  (152)
  Thomas Gray  (141)
  Victoria Elrod  (146)
  Walker Sharpe  (155)
Student Count 20

201G Literature           Period 4
  Angel Gorestriker  (140)
  Charlotte Gasper  (208)
  Chloe Adler  (163)
  Easton Ashley  (185)
  Emery Windward  (190)
  Jordan Vespertine  (232)
  Lydia Gasper  (143)
  Victoria Caskcut  (221)
  Wesley Finch  (225)
Student Count 9

202A Algebra 2            Period 3
  Aaliyah Langley  (214)
  Aubrey James  (216)
  Brooks Gasper  (235)
  Cooper Carter  (179)
  Elias Ashley  (233)
  Elijah Madden  (161)
  Genesis Truthbelly  (186)
  Ivy Solace  (144)
  Jack Gonzales  (175)
  Jacob Gonzales  (189)
  James Curran  (196)
  Jayden Beam  (203)
  Lydia Gasper  (143)
  Mia Sharpe  (174)
  Owen Ashford  (201)
  Owen Remington  (151)
  Parker Undergrove  (156)
  Ryan Poverly  (176)
  Theodore Fellowes  (206)
  Walker Sharpe  (155)
Student Count 20

202B Algebra 2            Period 4
  Athena Gonzales  (239)
  Aurora Spade  (139)
  Beau Ashford  (247)
  Benjamin Cyprus  (127)
  Claire Biddercombe  (157)
  Cora Hansley  (187)
  Eleanor Hendrix  (243)
  Ezra Vespertine  (126)
  Liliana Carter  (171)
  Logan Elsher  (209)
  Lydia Dustfinger  (148)
  Maverick Thatcher  (192)
  Nora Gorestriker  (131)
  Owen Madden  (223)
  Raelynn Caskcut  (191)
  Ruby Hydrafist  (137)
Student Count 16

202C Algebra 2            Period 6
  Aaron Keller  (242)
  Anna Spade  (172)
  Athena Woodgrip  (168)
  Easton Ashley  (185)
  Eli Kicklighter  (147)
  Emery Windward  (190)
  Emily Bardot  (142)
  Levi Bardot  (219)
  Maya Ashbluff  (160)
  Miles Gasper  (154)
  Nathan Huxley  (217)
  Oliver Ashbluff  (240)
  Xavier Hendrix  (211)
Student Count 13

202D Algebra 2            Period 7
  Adeline Hydrafist  (212)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Brooklyn Undergrove  (234)
  Charlotte Gasper  (208)
  Cooper Wixx  (226)
  Elizabeth Bardot  (138)
  Everett Poverly  (182)
  Everleigh Gray  (224)
  Isabella Woodgrip  (222)
  Josephine Barlowe  (246)
  Julian Undergrove  (180)
  Mateo Adair  (230)
  Maverick Spade  (136)
  Mila Crassus  (184)
  Riley Madden  (152)
  Ryan Elrod  (164)
  Thomas Gray  (141)
  Victoria Elrod  (146)
  Zoey Gorestriker  (248)
Student Count 20

202E Algebra 2            Period 5
  Adam Keller  (133)
  Anthony Gannon  (128)
  Audrey Madden  (149)
  Chloe Adler  (163)
  Elias Beckett  (153)
  Eloise Adams  (213)
  Jordan Vespertine  (232)
  Josephine Strongblossom  (145)
  Joshua Yearwood  (204)
  Josiah Daughtler  (218)
  Luna West  (165)
  Mateo Jenkins  (200)
  Maya James  (188)
  Naomi Mintz  (215)
  Nathan Adair  (241)
  Serenity Carter  (135)
  Xavier Humblecut  (198)
  Zoey Beam  (236)
Student Count 18

202F Algebra 2            Period 1
  Adam Lopez  (207)
  Angel Gorestriker  (140)
  Ava Lennon  (194)
  Ayla Carter  (249)
  Brooks Caddel  (129)
  Brooks Marley  (195)
  Cooper Solace  (169)
  Eli Hendrix  (229)
  Ellie Ellis  (250)
  Everly Cassidy  (170)
  Greyson Beckett  (130)
  John Strongblossom  (205)
  Madelyn Jenkins  (244)
  Penelope Daughtler  (227)
  Victoria Caskcut  (221)
  Victoria Finnegan  (245)
  Willow Sagespark  (134)
  Xavier Sharpe  (210)
Student Count 18

202G Algebra 2            Period 2
  Alice Crawford  (177)
  Anthony Strongblossom  (181)
  Bennett Sagespark  (231)
  Daniel Beckett  (220)
  Elena Moses  (199)
  Elias Amos  (173)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Ezekiel Kicklighter  (162)
  Gabriella Adair  (193)
  Greyson Adler  (202)
  Jack Beckett  (228)
  Jonathan Gray  (159)
  Jordan Spade  (197)
  Kennedy Hart  (237)
  Lillian Fleet  (132)
  Mateo Beckett  (167)
  Wesley Finch  (225)
  Weston Hansley  (183)
  Weston Truthbelly  (158)
Student Count 20

203A Biology 2            Period 3
  Aaron Keller  (242)
  Athena Gonzales  (239)
  Athena Woodgrip  (168)
  Beau Ashford  (247)
  Brooklyn Undergrove  (234)
  Brooks Caddel  (129)
  Charlotte Gasper  (208)
  Eleanor Hendrix  (243)
  Everly Cassidy  (170)
  Gabriella Adair  (193)
  Joshua Yearwood  (204)
  Mila Crassus  (184)
  Ryan Elrod  (164)
  Thomas Gray  (141)
  Victoria Finnegan  (245)
  Wesley Finch  (225)
  Weston Hansley  (183)
Student Count 17

203B Biology 2            Period 2
  Adam Lopez  (207)
  Audrey Madden  (149)
  Aurora Spade  (139)
  Ava Lennon  (194)
  Ayla Carter  (249)
  Brooks Gasper  (235)
  Elias Ashley  (233)
  Elizabeth Bardot  (138)
  Everett Poverly  (182)
  James Curran  (196)
  Josephine Strongblossom  (145)
  Josiah Daughtler  (218)
  Lydia Dustfinger  (148)
  Mia Sharpe  (174)
  Nathan Huxley  (217)
  Owen Ashford  (201)
  Xavier Sharpe  (210)
Student Count 17

203C Biology 2            Period 5
  Alice Crawford  (177)
  Angel Fleet  (238)
  Anna Spade  (172)
  Cooper Wixx  (226)
  Eli Kicklighter  (147)
  Elijah Madden  (161)
  Eloise Dagon  (178)
  Emily Bardot  (142)
  Greyson Adler  (202)
  Jonathan Gray  (159)
  Julian Undergrove  (180)
  Lydia Gasper  (143)
  Mateo Beckett  (167)
  Owen Madden  (223)
  Owen Remington  (151)
  Victoria Caskcut  (221)
  Victoria Elrod  (146)
  Walker Sharpe  (155)
  Willow Sagespark  (134)
  Xavier Hendrix  (211)
Student Count 20

203D Biology 2            Period 1
  Anthony Strongblossom  (181)
  Benjamin Cyprus  (127)
  Elena Moses  (199)
  Elias Amos  (173)
  Emery Windward  (190)
  Ezekiel Kicklighter  (162)
  Genesis Truthbelly  (186)
  Jayden Beam  (203)
  Jordan Vespertine  (232)
  Josephine Barlowe  (246)
  Levi Bardot  (219)
  Logan Elsher  (209)
  Mateo Adair  (230)
  Maya Ashbluff  (160)
  Maya James  (188)
  Nora Gorestriker  (131)
  Oliver Ashbluff  (240)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
  Zoey Gorestriker  (248)
Student Count 20

203E Biology 2            Period 4
  Brooks Marley  (195)
  Ella Hart  (166)
  Eloise Adams  (213)
  Greyson Beckett  (130)
  Isabella Woodgrip  (222)
  Jack Gonzales  (175)
  Jordan Spade  (197)
  Luna West  (165)
  Mateo Jenkins  (200)
  Maverick Spade  (136)
  Nathan Adair  (241)
  Penelope Daughtler  (227)
  Zoey Beam  (236)
Student Count 13

203F Biology 2            Period 7
  Aaliyah Langley  (214)
  Adam Keller  (133)
  Angel Gorestriker  (140)
